Category,Module,Entities,Custom Fields,Choice Sets,Option Values,App Modules,Forms,Views,Workflows,Canvas Apps
administrative,executive-coordination,8,93,0,0,1,40,35,0,0
administrative,member-organizations,13,264,22,140,1,104,91,0,0
compliance-security,investigations,28,448,24,163,1,224,196,0,0
compliance-security,personnel-security,7,345,32,220,1,56,49,0,0
external-engagement,event-management,9,149,14,103,1,72,63,0,0
external-engagement,external-interaction,8,38,1,8,1,24,23,0,1
external-engagement,programs-and-services,11,227,12,86,1,88,77,0,0
financial,financial-management,16,345,23,151,1,128,112,0,0
government,court-case-management,10,210,14,138,1,80,70,0,0
operations,asset-management,18,200,11,77,1,112,98,0,0
operations,facilities-management,0,0,0,0,0,0,0,0,0
operations,it-service-management,18,327,29,188,1,144,126,0,0
operations,operational-excellence,11,286,20,145,1,88,77,0,0
operations,project-tracking,10,279,16,98,1,80,70,0,0
operations,request-tracker,2,81,1,14,1,16,14,0,1
shared,core,38,376,87,518,1,288,254,0,1
shared,data-integration,0,0,0,0,0,0,0,0,0
shared,process-automation,8,22,0,0,1,40,43,1,2
shared,shift-scheduling,11,108,4,24,1,66,77,0,1
workforce,dispute-resolution,13,177,17,140,1,104,91,0,0
workforce,gamification,6,130,11,68,1,48,42,0,0
workforce,hr-administration,21,313,12,88,1,168,147,0,1
workforce,hr-benefits,17,275,24,158,1,136,119,0,0
workforce,hr-recruiting,13,296,21,144,1,104,91,0,0
workforce,knowledge-management,4,24,0,0,1,32,28,0,1
workforce,time-travel-expenses,10,316,14,108,1,80,70,0,0
workforce,training-and-certification,21,465,25,174,1,168,147,0,0
